order,K,comparison,metric,n,mean,ci_lo,ci_hi,p_value,q_value,fdr_significant
main,2,lambda3-ours,Forgetting,5,-0.005619999999999988,-0.020413333333333332,0.010826666666666674,0.625,0.7978723404255319,False
main,2,lambda3-ours,BWT,5,0.0004133333333333558,-0.02122666666666666,0.022053333333333373,1.0,1.0,False
main,2,lambda3-ours,Jaccard,5,0.05717999999999999,0.041000000000000016,0.07053999999999999,0.0625,0.1875,False
main,2,lambda3-ours,action-KL,5,0.012166666666666668,0.010746666666666668,0.013826666666666664,0.0625,0.1875,False
reverse,1,ours-distill,AA,5,-0.011319999999999997,-0.03870499999999999,0.005725000000000024,0.75,0.8823529411764706,False
reverse,1,ours-distill,Forgetting,5,-0.02067333333333334,-0.05588000000000002,0.0011733333333333155,0.1875,0.46875,False
reverse,1,ours-distill,BWT,5,-0.018280000000000008,-0.054853333333333344,0.0037799999999999835,0.5,0.759493670886076,False
reverse,1,ours-distill,Jaccard,5,-0.022813333333333363,-0.05186666666666671,0.009279999999999955,0.25,0.5555555555555556,False
reverse,1,ours-distill,action-KL,5,-0.010593333333333328,-0.02424666666666666,-0.001046666666666668,0.125,0.3409090909090909,False
reverse,2,ours-distill,AA,5,-0.012264999999999993,-0.03994999999999995,0.007531374999999789,0.5625,0.7978723404255319,False
reverse,2,ours-distill,Forgetting,5,-0.01538,-0.05260666666666665,0.012820000000000008,0.625,0.7978723404255319,False
reverse,2,ours-distill,BWT,5,-0.009679999999999977,-0.048446666666666624,0.01938666666666668,0.8125,0.9112149532710281,False
reverse,2,ours-distill,Jaccard,5,-0.02937999999999998,-0.08143566666666664,0.019413333333333355,0.3125,0.625,False
reverse,2,ours-distill,action-KL,5,-0.024093333333333335,-0.03869333333333334,-0.012460000000000002,0.0625,0.1875,False
reverse,4,ours-distill,AA,5,-0.004805000000000015,-0.02915000000000001,0.01868499999999995,0.9375,0.9782608695652174,False
reverse,4,ours-distill,Forgetting,5,0.004499999999999993,-0.014533333333333351,0.019893333333333332,0.625,0.7978723404255319,False
reverse,4,ours-distill,BWT,5,-0.008553333333333331,-0.02402666666666666,0.0055999999999999965,0.4375,0.7394366197183099,False
reverse,4,ours-distill,Jaccard,5,-0.00706666666666666,-0.05364666666666664,0.059646666666666646,1.0,1.0,False
reverse,4,ours-distill,action-KL,5,-0.009,-0.012453333333333334,-0.005553333333333334,0.0625,0.1875,False
reverse,1,ours-replay,AA,5,0.007360000000000033,-0.0023600000000000066,0.017080000000000074,0.375,0.6923076923076923,False
reverse,1,ours-replay,Forgetting,5,0.003193333333333336,-0.007253333333333348,0.01627333333333336,0.8125,0.9112149532710281,False
reverse,1,ours-replay,BWT,5,0.005313333333333331,-0.007266666666666652,0.01830666666666669,0.5625,0.7978723404255319,False
reverse,1,ours-replay,Jaccard,5,0.06727999999999998,0.03020666666666665,0.10756666666666663,0.0625,0.1875,False
reverse,1,ours-replay,action-KL,5,0.04526666666666666,0.024159999999999994,0.07794666666666666,0.0625,0.1875,False
reverse,2,ours-replay,AA,5,0.009210000000000006,-0.006700000000000106,0.024245000000000072,0.375,0.6923076923076923,False
reverse,2,ours-replay,Forgetting,5,0.004859999999999982,-0.012340000000000018,0.022059999999999982,0.6875,0.8418367346938775,False
reverse,2,ours-replay,BWT,5,0.0077266666666666595,-0.01065333333333334,0.026106666666666657,0.5,0.759493670886076,False
reverse,2,ours-replay,Jaccard,5,0.035413333333333345,0.002093333333333347,0.06904000000000002,0.1875,0.46875,False
reverse,2,ours-replay,action-KL,5,0.028633333333333334,0.016353333333333327,0.04884666666666667,0.0625,0.1875,False
reverse,4,ours-replay,AA,5,0.018684999999999997,0.004765000000000019,0.032604999999999974,0.125,0.3409090909090909,False
reverse,4,ours-replay,Forgetting,5,0.01051333333333333,0.003933333333333337,0.01874666666666665,0.0625,0.1875,False
reverse,4,ours-replay,BWT,5,0.020500000000000018,0.009546666666666682,0.03145333333333335,0.0625,0.1875,False
reverse,4,ours-replay,Jaccard,5,-0.008226666666666651,-0.06262666666666664,0.04134000000000001,0.875,0.9292035398230089,False
reverse,4,ours-replay,action-KL,5,0.024820000000000002,0.01497633333333335,0.034493333333333334,0.0625,0.1875,False
reverse,1,distill-replay,AA,5,0.01868000000000003,-0.0027200000000000115,0.05254000000000012,0.375,0.6923076923076923,False
reverse,1,distill-replay,Forgetting,5,0.023866666666666675,-0.00762000000000002,0.07103333333333338,0.5,0.759493670886076,False
reverse,1,distill-replay,BWT,5,0.02359333333333334,-0.00808666666666665,0.07198000000000006,0.5,0.759493670886076,False
reverse,1,distill-replay,Jaccard,5,0.09009333333333333,0.06639333333333335,0.11379333333333333,0.0625,0.1875,False
reverse,1,distill-replay,action-KL,5,0.05586,0.02847333333333333,0.10171333333333332,0.0625,0.1875,False
reverse,2,distill-replay,AA,5,0.021475,-0.0014650000000000051,0.05816000000000001,0.25,0.5555555555555556,False
reverse,2,distill-replay,Forgetting,5,0.02023999999999998,-0.01344666666666668,0.06961999999999999,0.6875,0.8418367346938775,False
reverse,2,distill-replay,BWT,5,0.017406666666666636,-0.01256666666666669,0.06633999999999997,0.875,0.9292035398230089,False
reverse,2,distill-replay,Jaccard,5,0.06479333333333333,0.03529333333333333,0.09372666666666665,0.0625,0.1875,False
reverse,2,distill-replay,action-KL,5,0.052726666666666665,0.03096666666666667,0.08714666666666668,0.0625,0.1875,False
reverse,4,distill-replay,AA,5,0.02349000000000001,0.00012000000000003119,0.04638,0.25,0.5555555555555556,False
reverse,4,distill-replay,Forgetting,5,0.006013333333333338,-0.015959999999999995,0.03328,0.75,0.8823529411764706,False
reverse,4,distill-replay,BWT,5,0.029053333333333348,0.017780000000000015,0.03886,0.0625,0.1875,False
reverse,4,distill-replay,Jaccard,5,-0.0011599999999999916,-0.10172666666666663,0.09324666666666666,1.0,1.0,False
