order,setting_key,setting_label,K,task,A_t_t,std,n,raw_acc
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,esca,0.9482199999999998,0.055533476390372004,5,0.94666
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,lung,0.85436,0.020606382506398326,5,0.8526400000000001
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),1,rcc,0.9623799999999999,0.02376135518020807,5,0.9579000000000001
reverse,replay,counterfactual-teacher replay,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,replay,counterfactual-teacher replay,1,esca,0.9357199999999999,0.047403501980339,5,0.9333199999999999
reverse,replay,counterfactual-teacher replay,1,lung,0.8591,0.024075921581530355,5,0.85686
reverse,replay,counterfactual-teacher replay,1,rcc,0.9566399999999999,0.012524096773819679,5,0.9526199999999999
reverse,seqft,sequential fine-tuning,1,brca,0.89538,0.05306512037110628,5,0.92688
reverse,seqft,sequential fine-tuning,1,esca,0.8964399999999999,0.03765817308367467,5,0.89334
reverse,seqft,sequential fine-tuning,1,lung,0.8674200000000001,0.021669033204091047,5,0.8652799999999999
reverse,seqft,sequential fine-tuning,1,rcc,0.9620000000000001,0.014710710383934565,5,0.9552799999999999
reverse,distill,old-policy / policy-fidelity distillation,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,distill,old-policy / policy-fidelity distillation,2,esca,0.92322,0.031931050718697014,5,0.91998
reverse,distill,old-policy / policy-fidelity distillation,2,lung,0.8629,0.025315015307125533,5,0.8610599999999999
reverse,distill,old-policy / policy-fidelity distillation,2,rcc,0.9688800000000001,0.007350986328378032,5,0.9684200000000001
reverse,ewc,EWC parameter regularization,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,ewc,EWC parameter regularization,2,esca,0.9125,0.03423265984407288,5,0.9066600000000001
reverse,ewc,EWC parameter regularization,2,lung,0.8523200000000001,0.018719161305998724,5,0.85052
reverse,ewc,EWC parameter regularization,2,rcc,0.9611000000000001,0.009298655816837201,5,0.96052
reverse,joint,joint-training reference,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,joint,joint-training reference,2,esca,0.95,0.027950849718747367,5,0.94664
reverse,joint,joint-training reference,2,lung,0.85816,0.019127414880218414,5,0.85686
reverse,joint,joint-training reference,2,rcc,0.9651799999999999,0.009123157348199124,5,0.9658
reverse,lwf,new-state old-policy distillation,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,lwf,new-state old-policy distillation,2,esca,0.975,0.03423265984407287,5,0.97332
reverse,lwf,new-state old-policy distillation,2,lung,0.87338,0.02383960989613714,5,0.87158
reverse,lwf,new-state old-policy distillation,2,rcc,0.96684,0.008389755657943861,5,0.96578
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,esca,0.92322,0.031931050718697014,5,0.91998
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,lung,0.8527000000000001,0.028276403590272937,5,0.85054
reverse,ours_lambda1,Utility-Weighted Replay Distillation (λ=1.0),2,rcc,0.95906,0.00456157867409956,5,0.9578800000000001
reverse,replay,counterfactual-teacher replay,2,brca,0.8559599999999999,0.07121287102764495,5,0.91396
reverse,replay,counterfactual-teacher replay,2,esca,0.9,0.03423265984407289,5,0.89334
