method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,random_ref,n_test,wall_s,dataset,order
lwf,1,4,2,esca,1,0.9375,0.9333,0.0889,0.0069,0.1261,0.8857,15,172.5,can,main
lwf,1,4,2,lung,2,0.8307,0.8316,1.0,-0.0,0.0642,0.8484,95,175.1,can,main
lwf,1,4,3,esca,1,0.9375,0.9333,0.0889,0.0112,0.1098,0.8857,15,291.3,can,main
lwf,1,4,3,lung,2,0.8321,0.8316,0.1269,0.0047,0.0373,0.8484,95,293.5,can,main
lwf,1,4,3,rcc,3,0.9342,0.9474,1.0,-0.0,0.1692,0.9261,76,295.3,can,main
lwf,1,4,4,esca,1,0.9375,0.9333,0.1225,0.009,0.0995,0.8857,15,435.5,can,main
lwf,1,4,4,lung,2,0.8321,0.8316,0.0777,0.0082,0.0394,0.8484,95,437.8,can,main
lwf,1,4,4,rcc,3,0.9074,0.9342,0.2262,0.0033,0.1853,0.9261,76,439.6,can,main
lwf,1,4,4,brca,4,0.9331,0.9247,1.0,-0.0,0.0846,0.7939,93,441.9,can,main
replay,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.2,can,main
replay,1,1,2,esca,1,0.9375,0.9333,0.0,0.0978,-0.1532,0.8018,15,64.4,can,main
replay,1,1,2,lung,2,0.8966,0.8947,1.0,0.0,0.2064,0.771,95,65.1,can,main
replay,1,1,3,esca,1,0.8661,0.8667,0.2,0.1105,-0.1439,0.8018,15,112.8,can,main
replay,1,1,3,lung,2,0.8361,0.8316,0.3053,0.1101,0.0499,0.771,95,113.4,can,main
replay,1,1,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.8872,0.9035,76,113.9,can,main
replay,1,1,4,esca,1,0.9375,0.9333,0.0667,0.1271,0.3111,0.8018,15,171.7,can,main
replay,1,1,4,lung,2,0.8469,0.8421,0.2737,0.1411,0.0869,0.771,95,172.3,can,main
replay,1,1,4,rcc,3,0.9611,0.9605,0.25,0.0636,0.7969,0.9035,76,172.8,can,main
replay,1,1,4,brca,4,0.7564,0.8925,1.0,-0.0,0.2316,0.68,93,173.5,can,main
replay,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,12.2,can,main
replay,1,2,2,esca,1,0.8661,0.8667,0.1778,0.0705,-0.2789,0.8464,15,119.9,can,main
replay,1,2,2,lung,2,0.8341,0.8316,1.0,-0.0,0.0738,0.7828,95,121.3,can,main
replay,1,2,3,esca,1,0.9375,0.9333,0.0889,0.069,-0.0609,0.8464,15,208.8,can,main
replay,1,2,3,lung,2,0.7646,0.7579,0.1614,0.072,-0.0388,0.7828,95,210.0,can,main
replay,1,2,3,rcc,3,0.9898,0.9868,1.0,0.0,0.4334,0.8859,76,210.9,can,main
replay,1,2,4,esca,1,0.9375,0.9333,0.0889,0.0929,-0.0741,0.8464,15,316.5,can,main
replay,1,2,4,lung,2,0.8265,0.8211,0.1719,0.0838,-0.0126,0.7828,95,317.7,can,main
replay,1,2,4,rcc,3,0.9898,0.9868,0.1623,0.039,0.466,0.8859,76,318.9,can,main
replay,1,2,4,brca,4,0.9399,0.9355,1.0,-0.0,0.1956,0.7008,93,320.1,can,main
replay,1,4,1,esca,1,0.9375,0.9333,1.0,-0.0,-0.0838,0.8857,15,23.0,can,main
replay,1,4,2,esca,1,0.9375,0.9333,0.0381,0.0485,-0.0222,0.8857,15,228.8,can,main
replay,1,4,2,lung,2,0.8531,0.8526,1.0,-0.0,0.011,0.8484,95,231.4,can,main
replay,1,4,3,esca,1,0.9375,0.9333,0.1302,0.0292,-0.0577,0.8857,15,395.6,can,main
replay,1,4,3,lung,2,0.8232,0.8211,0.0887,0.0292,0.0047,0.8484,95,398.0,can,main
replay,1,4,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.2101,0.9261,76,400.0,can,main
replay,1,4,4,esca,1,0.8661,0.8667,0.1079,0.0325,0.0033,0.8857,15,596.2,can,main
replay,1,4,4,lung,2,0.8742,0.8737,0.1182,0.0416,0.0508,0.8484,95,598.6,can,main
replay,1,4,4,rcc,3,0.8889,0.9211,0.0865,0.0161,0.2042,0.9261,76,600.7,can,main
replay,1,4,4,brca,4,0.8745,0.9247,1.0,-0.0,0.08,0.7939,93,603.1,can,main
distill,1,1,1,esca,1,0.875,0.8667,1.0,-0.0,-0.3416,0.8018,15,6.5,can,main
distill,1,1,2,esca,1,0.9375,0.9333,0.1333,0.063,-0.2699,0.8018,15,67.1,can,main
distill,1,1,2,lung,2,0.8858,0.8842,1.0,-0.0,0.1663,0.771,95,67.7,can,main
distill,1,1,3,esca,1,0.9375,0.9333,0.4667,0.0653,-0.17,0.8018,15,116.2,can,main
distill,1,1,3,lung,2,0.8647,0.8632,0.5684,0.0412,0.1327,0.771,95,116.8,can,main
distill,1,1,3,rcc,3,0.9509,0.9474,1.0,-0.0,0.8456,0.9035,76,117.3,can,main
distill,1,1,4,esca,1,0.8661,0.8667,0.1333,0.1193,-0.0284,0.8018,15,177.2,can,main
distill,1,1,4,lung,2,0.8762,0.8737,0.5368,0.0603,0.1548,0.771,95,177.9,can,main
distill,1,1,4,rcc,3,0.9611,0.9605,0.3947,0.0357,0.8618,0.9035,76,178.4,can,main
distill,1,1,4,brca,4,0.776,0.8925,1.0,-0.0,0.1953,0.68,93,179.0,can,main
distill,1,2,1,esca,1,1.0,1.0,1.0,0.0,0.3363,0.8464,15,10.9,can,main
distill,1,2,2,esca,1,0.8661,0.8667,0.2889,0.0156,-0.3314,0.8464,15,120.9,can,main
distill,1,2,2,lung,2,0.8762,0.8737,1.0,-0.0,0.105,0.7828,95,123.3,can,main
distill,1,2,3,esca,1,0.8661,0.8667,0.1111,0.0135,0.0177,0.8464,15,214.5,can,main
distill,1,2,3,lung,2,0.8749,0.8737,0.3193,0.016,0.0862,0.7828,95,215.7,can,main
distill,1,2,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.3802,0.8859,76,216.7,can,main
