method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,c0_parameter_budget,dataset,order,c0_role
sp_nav,1,1,3,lung,2,0.8762,0.8737,0.1789,0.1758,0.1535,0.6003,0.1494,0.771,95,80.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,3,rcc,3,0.9713,0.9737,1.0,-0.0,0.8482,0.7898,0.0807,0.9035,76,80.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,4,esca,1,0.8036,0.8,0.0,0.1666,-0.4061,0.6426,0.1509,0.8018,15,117.1,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,4,lung,2,0.8028,0.8,0.0737,0.4385,0.2778,0.476,0.1896,0.771,95,117.6,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,4,rcc,3,0.9221,0.9211,0.1579,0.1807,0.7904,0.743,0.096,0.9035,76,118.0,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,1,4,brca,4,0.776,0.8925,1.0,-0.0,0.1587,0.6651,0.1254,0.68,93,118.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,1,esca,1,0.8661,0.8667,1.0,0.0,-0.2064,0.7235,0.1169,0.8464,15,11.3,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,2,esca,1,0.8661,0.8667,0.0889,0.0698,0.1142,0.7335,0.11,0.8464,15,83.3,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,2,lung,2,0.8966,0.8947,1.0,-0.0,0.0901,0.5863,0.1454,0.7828,95,84.4,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
sp_nav,1,2,3,esca,1,0.9286,0.9333,0.0889,0.0553,0.1425,0.7399,0.1034,0.8464,15,141.5,mps,2.12.0,False,True,1,mps,track_c0_20260817T014543Z,4e1680d0e63b6c10eb7ef77a367753ed7cb36131,aaron-mac.local,scripts/run_track_c0.py --device mps --tag track_c0_20260817T014543Z --resume,"{'shared_core_params': 164481, 'adapter_params_per_task': 640, 'adapter_params_all_tasks': 2560, 'n_tasks': 4, 'adapter_pct_of_core_per_task': 0.3891, 'adapter_pct_of_core_all_tasks': 1.5564}",can,main,c0_screening
