method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,git_commit,hostname,command,dataset,order,gate_v2_role
eq_pres,4,1,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.8565,0.8308,0.0647,0.8931,76,144.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,4,esca,1,1.0,1.0,0.1333,0.1656,0.6617,0.8219,0.081,0.7982,15,212.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,4,lung,2,0.8565,0.8526,0.2105,0.1478,0.0392,0.7065,0.1406,0.7368,95,213.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,4,rcc,3,0.9101,0.8947,0.25,0.0542,0.7326,0.8434,0.0601,0.8931,76,213.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,1,4,brca,4,0.9271,0.9462,1.0,-0.0,0.4155,0.7227,0.1044,0.6746,93,214.4,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,1,esca,1,0.9375,0.9333,1.0,0.0,-0.1368,0.7328,0.1141,0.925,15,15.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,2,esca,1,1.0,1.0,0.2,0.1205,0.3386,0.7937,0.0942,0.925,15,144.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,2,lung,2,0.8742,0.8737,1.0,-0.0,-0.0111,0.6354,0.1383,0.8127,95,146.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,3,esca,1,0.9375,0.9333,0.1778,0.1408,0.2689,0.8044,0.0834,0.925,15,252.7,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,3,lung,2,0.8654,0.8632,0.1333,0.0858,0.0068,0.6458,0.1407,0.8127,95,253.9,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,3,rcc,3,0.9611,0.9605,1.0,-0.0,0.4005,0.7665,0.085,0.9072,76,254.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,4,esca,1,1.0,1.0,0.1556,0.1161,0.3317,0.7987,0.0881,0.925,15,383.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,4,lung,2,0.8769,0.8737,0.1088,0.1101,0.0082,0.6388,0.1428,0.8127,95,384.9,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,4,rcc,3,0.9342,0.9474,0.1184,0.0549,0.4163,0.7848,0.0778,0.9072,76,385.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,2,4,brca,4,0.7496,0.8817,1.0,-0.0,-0.0167,0.6239,0.1276,0.6981,93,387.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,1,esca,1,0.8571,0.8667,1.0,-0.0,-0.0415,0.6873,0.1219,0.8732,15,27.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,2,esca,1,0.8661,0.8667,0.1721,0.097,-0.2163,0.7462,0.0961,0.8732,15,289.0,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,2,lung,2,0.8463,0.8421,1.0,-0.0,-0.0794,0.6621,0.1203,0.8401,95,291.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,3,esca,1,0.8661,0.8667,0.1492,0.1041,-0.0431,0.7446,0.0967,0.8732,15,496.2,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,3,lung,2,0.8647,0.8632,0.1716,0.0615,-0.0639,0.6804,0.1142,0.8401,95,498.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,3,rcc,3,0.9342,0.9474,1.0,-0.0,0.1801,0.7538,0.0899,0.9281,76,500.5,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,4,esca,1,0.9375,0.9333,0.1302,0.1349,-0.0033,0.7575,0.0919,0.8732,15,755.1,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,4,lung,2,0.8449,0.8421,0.1921,0.1254,-0.1293,0.6928,0.1119,0.8401,95,757.4,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,4,rcc,3,0.9342,0.9474,0.1031,0.0225,0.184,0.7666,0.0843,0.9281,76,759.3,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
eq_pres,4,4,4,brca,4,0.9068,0.914,1.0,-0.0,0.0741,0.6315,0.1235,0.7919,93,761.6,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,candidate_new
ours_uniform,0,4,1,esca,1,0.875,0.8667,1.0,-0.0,-0.0328,0.7293,0.1137,0.8179,15,28.8,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
ours_uniform,0,4,2,esca,1,1.0,1.0,0.1206,0.0065,0.1704,0.7342,0.1119,0.8179,15,295.4,mps,2.12.0,False,True,1,mps,gate_v2_20260816T073200Z,22500ef30e3a100321e0aafc68c7babd548de254,aaron-mac.local,scripts/run_gate_v2.py --device mps --tag gate_v2_20260816T073200Z --resume,can,main,comparator_completion_k4
