method,seed,K,stage,task,task_idx,bal_acc,acc,jaccard,action_kl,sel_utility,eps_optimal_mass,normalized_regret,random_ref,n_test,wall_s,requested,torch_version,cuda_available,mps_available,mps_fallback,resolved_device,run_tag,dataset,order
distill,1,2,3,rcc,3,0.9694,0.9605,1.0,-0.0,0.3802,0.7651,0.0852,0.8859,76,192.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,4,esca,1,0.9375,0.9333,0.1333,0.0307,0.2426,0.719,0.1176,0.8464,15,288.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,4,lung,2,0.8334,0.8316,0.186,0.0219,0.0454,0.5653,0.1543,0.7828,95,289.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,4,rcc,3,0.9713,0.9737,0.1842,0.0157,0.4043,0.7694,0.0835,0.8859,76,290.6,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,1,2,4,brca,4,0.9271,0.9462,1.0,-0.0,0.1783,0.6267,0.129,0.7008,93,291.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.7798,0.0954,0.8679,15,5.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,2,esca,1,0.9375,0.9333,0.4667,0.046,0.6125,0.8152,0.0824,0.8679,15,65.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,2,lung,2,0.8545,0.8526,1.0,0.0,-0.0039,0.6858,0.1328,0.7639,95,65.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,3,esca,1,0.875,0.8667,0.4,0.0582,0.0731,0.8021,0.0894,0.8679,15,112.5,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,3,lung,2,0.866,0.8632,0.4105,0.0458,0.041,0.6792,0.1395,0.7639,95,113.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,3,rcc,3,0.949,0.9342,1.0,-0.0,0.8151,0.8176,0.072,0.8511,76,113.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,4,esca,1,0.9375,0.9333,0.1333,0.1063,0.6093,0.7786,0.094,0.8679,15,168.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,4,lung,2,0.8667,0.8632,0.3053,0.0975,0.1112,0.6619,0.1445,0.7639,95,169.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,4,rcc,3,0.9796,0.9737,0.2763,0.0296,0.8708,0.8054,0.0751,0.8511,76,169.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,1,4,brca,4,0.776,0.8925,1.0,-0.0,0.2418,0.6645,0.1276,0.6575,93,170.4,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,1,esca,1,0.9375,0.9333,1.0,0.0,0.0808,0.7498,0.1058,0.8393,15,9.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,2,esca,1,0.9375,0.9333,0.2,0.0254,-0.0342,0.7534,0.1066,0.8393,15,114.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,2,lung,2,0.8469,0.8421,1.0,0.0,-0.0598,0.6416,0.1344,0.7886,95,115.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,3,esca,1,0.9375,0.9333,0.1556,0.0321,-0.14,0.7532,0.1079,0.8393,15,201.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,3,lung,2,0.8456,0.8421,0.1754,0.0177,-0.0458,0.6393,0.1374,0.7886,95,202.8,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,3,rcc,3,0.9407,0.9342,1.0,-0.0,0.3766,0.7903,0.0815,0.9083,76,203.6,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,4,esca,1,0.8661,0.8667,0.1111,0.0314,-0.4955,0.7475,0.1074,0.8393,15,310.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,4,lung,2,0.8137,0.8105,0.186,0.034,0.034,0.637,0.1396,0.7886,95,311.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,4,rcc,3,0.9426,0.9474,0.1754,0.0135,0.4367,0.7983,0.0784,0.9083,76,312.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
ours_uniform,2,2,4,brca,4,0.8873,0.914,1.0,-0.0,0.1716,0.6354,0.1223,0.7351,93,313.0,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,1,esca,1,0.875,0.8667,1.0,0.0,-0.2449,0.7798,0.0954,0.8679,15,5.3,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,2,esca,1,0.9375,0.9333,0.5333,0.0517,0.5958,0.8175,0.0742,0.8679,15,59.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,2,lung,2,0.8551,0.8526,1.0,-0.0,-0.0147,0.6971,0.1302,0.7639,95,59.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,3,esca,1,0.9375,0.9333,0.4667,0.0495,0.4801,0.8069,0.0829,0.8679,15,102.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,3,lung,2,0.8864,0.8842,0.5579,0.029,0.0483,0.685,0.134,0.7639,95,102.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,3,rcc,3,0.9694,0.9605,1.0,0.0,0.8228,0.8132,0.073,0.8511,76,103.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,4,esca,1,0.9375,0.9333,0.1333,0.096,0.5889,0.7744,0.0868,0.8679,15,157.2,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,4,lung,2,0.8762,0.8737,0.4316,0.0626,0.0711,0.6639,0.1388,0.7639,95,157.7,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
distill,2,1,4,rcc,3,0.9592,0.9474,0.3553,0.0322,0.8062,0.7944,0.0786,0.8511,76,158.1,mps,2.12.0,False,True,1,mps,util_regen_20260815_mps,can,main
